id,outcome,step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8
hotpotqa-00000,success,web_search,(none),(none),(none),(none),(none),(none),(none)
hotpotqa-00001,partial,web_search,python_interpreter,(none),(none),(none),(none),(none),(none)
hotpotqa-00002,success,web_search,python_interpreter,(none),(none),(none),(none),(none),(none)
hotpotqa-00003,success,web_search,web_search,(none),(none),(none),(none),(none),(none)
hotpotqa-00004,success,web_search,(none),(none),(none),(none),(none),(none),(none)
hotpotqa-00005,success,web_search,(none),(none),(none),(none),(none),(none),(none)
hotpotqa-00006,partial,web_search,(none),(none),(none),(none),(none),(none),(none)
hotpotqa-00007,success,web_search,(none),(none),(none),(none),(none),(none),(none)
hotpotqa-00008,partial,web_search,web_search,web_search,(none),(none),(none),(none),(none)
hotpotqa-00009,fail,web_search,web_search,web_search,web_search,web_search,(none),(none),(none)
hotpotqa-00010,success,web_search,(none),(none),(none),(none),(none),(none),(none)
hotpotqa-00011,success,web_search,(none),(none),(none),(none),(none),(none),(none)
hotpotqa-00012,success,web_search,(none),(none),(none),(none),(none),(none),(none)
hotpotqa-00013,success,web_search,web_search,(none),(none),(none),(none),(none),(none)
hotpotqa-00014,fail,web_search,web_search,web_search,web_search,web_search,(none),(none),(none)
hotpotqa-00015,success,web_search,web_search,(none),(none),(none),(none),(none),(none)
hotpotqa-00016,partial,web_search,web_search,web_search,(none),(none),(none),(none),(none)
hotpotqa-00017,success,web_search,(none),(none),(none),(none),(none),(none),(none)
hotpotqa-00018,success,web_search,(none),(none),(none),(none),(none),(none),(none)
hotpotqa-00019,partial,web_search,(none),(none),(none),(none),(none),(none),(none)
hotpotqa-00020,partial,web_search,web_search,(none),(none),(none),(none),(none),(none)
hotpotqa-00021,success,(none),(none),(none),(none),(none),(none),(none),(none)
hotpotqa-00022,success,web_search,(none),(none),(none),(none),(none),(none),(none)
hotpotqa-00023,success,web_search,(none),(none),(none),(none),(none),(none),(none)
hotpotqa-00024,partial,web_search,web_search,(none),(none),(none),(none),(none),(none)
hotpotqa-00025,success,web_search,(none),(none),(none),(none),(none),(none),(none)
hotpotqa-00026,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
hotpotqa-00027,success,web_search,(none),(none),(none),(none),(none),(none),(none)
hotpotqa-00028,success,web_search,web_search,(none),(none),(none),(none),(none),(none)
hotpotqa-00029,success,web_search,(none),(none),(none),(none),(none),(none),(none)
hotpotqa-00030,success,web_search,(none),(none),(none),(none),(none),(none),(none)
hotpotqa-00031,success,web_search,(none),(none),(none),(none),(none),(none),(none)
hotpotqa-00032,success,web_search,web_search,(none),(none),(none),(none),(none),(none)
hotpotqa-00033,partial,web_search,web_search,web_search,(none),(none),(none),(none),(none)
hotpotqa-00034,success,web_search,(none),(none),(none),(none),(none),(none),(none)
