id,outcome,step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8
math-00608,partial,(none),(none),(none),(none),(none),(none),(none),(none)
math-00609,success,Rational,(none),(none),(none),(none),(none),(none),(none)
math-00610,success,sqrt,(none),(none),(none),(none),(none),(none),(none)
math-00611,fail,find_factors,python_interpreter,limit_denominator,gcd,(none),(none),(none),(none)
math-00612,success,array,(none),(none),(none),(none),(none),(none),(none)
math-00613,partial,sqrt,(none),(none),(none),(none),(none),(none),(none)
math-00614,fail,(none),(none),(none),(none),(none),(none),(none),(none)
math-00615,success,(none),(none),(none),(none),(none),(none),(none),(none)
math-00616,fail,symbols,symbols,(none),(none),(none),(none),(none),(none)
math-00617,partial,array,python_interpreter,(none),(none),(none),(none),(none),(none)
math-00618,partial,array,dot,(none),(none),(none),(none),(none),(none)
math-00619,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00620,success,divmod,(none),(none),(none),(none),(none),(none),(none)
math-00621,success,sqrt,python_interpreter,(none),(none),(none),(none),(none),(none)
math-00622,success,array,(none),(none),(none),(none),(none),(none),(none)
math-00623,partial,f,(none),(none),(none),(none),(none),(none),(none)
math-00624,success,ceil,(none),(none),(none),(none),(none),(none),(none)
math-00625,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00626,success,symbols,solve,solve,Rational,(none),(none),(none),(none)
math-00627,partial,sqrt,(none),(none),(none),(none),(none),(none),(none)
math-00628,success,append,python_interpreter,(none),(none),(none),(none),(none),(none)
math-00629,partial,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00630,fail,(none),(none),(none),(none),(none),(none),(none),(none)
math-00631,success,lcm,(none),(none),(none),(none),(none),(none),(none)
math-00632,success,symbols,python_interpreter,append,append,(none),(none),(none),(none)
math-00633,success,primefactors,(none),(none),(none),(none),(none),(none),(none)
math-00634,success,symbols,python_interpreter,python_interpreter,Rational,(none),(none),(none),(none)
math-00635,partial,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00636,fail,symbols,symbols,log,(none),(none),(none),(none),(none)
math-00637,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00638,success,floor,floor,(none),(none),(none),(none),(none),(none)
math-00639,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00640,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00641,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00642,success,Rational,(none),(none),(none),(none),(none),(none),(none)
math-00643,partial,comb,(none),(none),(none),(none),(none),(none),(none)
math-00644,success,Rational,(none),(none),(none),(none),(none),(none),(none)
math-00645,partial,symbols,python_interpreter,(none),(none),(none),(none),(none),(none)
math-00646,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00647,partial,python_interpreter,limit_denominator,limit_denominator,(none),(none),(none),(none),(none)
math-00648,success,(none),(none),(none),(none),(none),(none),(none),(none)
math-00649,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00650,success,find_min_sum,(none),(none),(none),(none),(none),(none),(none)
math-00651,success,f,(none),(none),(none),(none),(none),(none),(none)
math-00652,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00653,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00654,success,python_interpreter,python_interpreter,(none),(none),(none),(none),(none),(none)
math-00655,success,array,(none),(none),(none),(none),(none),(none),(none)
math-00656,fail,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00657,success,python_interpreter,(none),(none),(none),(none),(none),(none),(none)
math-00658,success,symbols,(none),(none),(none),(none),(none),(none),(none)
math-00659,success,gcd,(none),(none),(none),(none),(none),(none),(none)
